Zip Code,City,State,PNODEID,PNODENAME
07001,Avenel,NJ,48717,PIERSOAV230 KV  T-1
07001,Avenel,NJ,48718,PIERSOAV230 KV  T-2
07002,Bayonne,NJ,205491,BAYONNE 26 KV   LOAD1
07002,Bayonne,NJ,205491,BAYONNE 26 KV   LOAD1
07002,Bayonne,NJ,205491,BAYONNE 26 KV   LOAD1
07002,Bayonne,NJ,205491,BAYONNE 26 KV   LOAD1
07002,Bayonne,NJ,205491,BAYONNE 26 KV   LOAD1
07002,Bayonne,NJ,205491,BAYONNE 26 KV   LOAD1
07002,Bayonne,NJ,205492,BAYONNE 26 KV   LOAD2
07002,Bayonne,NJ,205492,BAYONNE 26 KV   LOAD2
07002,Bayonne,NJ,205492,BAYONNE 26 KV   LOAD2
07002,Bayonne,NJ,205492,BAYONNE 26 KV   LOAD2
07002,Bayonne,NJ,205492,BAYONNE 26 KV   LOAD2
07002,Bayonne,NJ,205492,BAYONNE 26 KV   LOAD2
07002,Bayonne,NJ,1084378551,BAYONNE 138 KV  T30-LOAD
07002,Bayonne,NJ,1084378551,BAYONNE 138 KV  T30-LOAD
07002,Bayonne,NJ,1084378551,BAYONNE 138 KV  T30-LOAD
07002,Bayonne,NJ,1084378551,BAYONNE 138 KV  T30-LOAD
07002,Bayonne,NJ,1084378551,BAYONNE 138 KV  T30-LOAD
07002,Bayonne,NJ,1084378551,BAYONNE 138 KV  T30-LOAD
07002,Bayonne,NJ,1084378552,BAYONNE 138 KV  T10-LOAD
07002,Bayonne,NJ,1084378552,BAYONNE 138 KV  T10-LOAD
07002,Bayonne,NJ,1084378552,BAYONNE 138 KV  T10-LOAD
07002,Bayonne,NJ,1084378552,BAYONNE 138 KV  T10-LOAD
07002,Bayonne,NJ,1084378552,BAYONNE 138 KV  T10-LOAD
07002,Bayonne,NJ,1084378552,BAYONNE 138 KV  T10-LOAD
07002,Bayonne,NJ,1084378553,BAYONNE 138 KV  T40-LOAD
07002,Bayonne,NJ,1084378553,BAYONNE 138 KV  T40-LOAD
07002,Bayonne,NJ,1084378553,BAYONNE 138 KV  T40-LOAD
07002,Bayonne,NJ,1084378553,BAYONNE 138 KV  T40-LOAD
07002,Bayonne,NJ,1084378553,BAYONNE 138 KV  T40-LOAD
07002,Bayonne,NJ,1084378553,BAYONNE 138 KV  T40-LOAD
07002,Bayonne,NJ,1084378554,BAYONNE 138 KV  T20-LOAD
07002,Bayonne,NJ,1084378554,BAYONNE 138 KV  T20-LOAD
07002,Bayonne,NJ,1084378554,BAYONNE 138 KV  T20-LOAD
07002,Bayonne,NJ,1084378554,BAYONNE 138 KV  T20-LOAD
07002,Bayonne,NJ,1084378554,BAYONNE 138 KV  T20-LOAD
07002,Bayonne,NJ,1084378554,BAYONNE 138 KV  T20-LOAD
07003,Bloomfield,NJ,21601622,COOKRD  13 KV   LOAD1
07003,Bloomfield,NJ,21601623,COOKRD  13 KV   LOAD2
07003,Bloomfield,NJ,21601624,COOKRD  13 KV   LOAD3
07003,Bloomfield,NJ,21601625,COOKRD  13 KV   LOAD4
07004,Fairfield,NJ,48737,WCALDWEL138 KV  T-1
07004,Fairfield,NJ,48738,WCALDWEL138 KV  T-2
07004,Fairfield,NJ,48739,WCALDWEL138 KV  T-3
07004,Fairfield,NJ,48740,WCALDWEL138 KV  T-4
07005,Boonton,NJ,205518,MONTVILL35 KV   LOAD1
07005,Boonton,NJ,44460715,MONTVILL35 KV   LOAD2
07005,Boonton,NJ,48933935,MONTVILL230 KV  T3A
07005,Boonton,NJ,48933937,MONTVILL230 KV  T3B
07006,Caldwell,NJ,48737,WCALDWEL138 KV  T-1
07006,Caldwell,NJ,48737,WCALDWEL138 KV  T-1
07006,Caldwell,NJ,48737,WCALDWEL138 KV  T-1
07006,Caldwell,NJ,48737,WCALDWEL138 KV  T-1
07006,Caldwell,NJ,48738,WCALDWEL138 KV  T-2
07006,Caldwell,NJ,48738,WCALDWEL138 KV  T-2
07006,Caldwell,NJ,48738,WCALDWEL138 KV  T-2
07006,Caldwell,NJ,48738,WCALDWEL138 KV  T-2
07006,Caldwell,NJ,48739,WCALDWEL138 KV  T-3
07006,Caldwell,NJ,48739,WCALDWEL138 KV  T-3
07006,Caldwell,NJ,48739,WCALDWEL138 KV  T-3
07006,Caldwell,NJ,48739,WCALDWEL138 KV  T-3
07006,Caldwell,NJ,48740,WCALDWEL138 KV  T-4
07006,Caldwell,NJ,48740,WCALDWEL138 KV  T-4
07006,Caldwell,NJ,48740,WCALDWEL138 KV  T-4
07006,Caldwell,NJ,48740,WCALDWEL138 KV  T-4
07008,Carteret,NJ,48687,MINUEST 230 KV  T-1
07008,Carteret,NJ,48687,MINUEST 230 KV  T-1
07008,Carteret,NJ,48688,MINUEST 230 KV  T-2
07008,Carteret,NJ,48688,MINUEST 230 KV  T-2
07009,Cedar Grove,NJ,48621,CLIF PS 230 KV  T-1
07009,Cedar Grove,NJ,48621,CLIF PS 230 KV  T-1
07009,Cedar Grove,NJ,48621,CLIF PS 230 KV  T-1
07009,Cedar Grove,NJ,48622,CLIF PS 230 KV  T-2
07009,Cedar Grove,NJ,48622,CLIF PS 230 KV  T-2
07009,Cedar Grove,NJ,48622,CLIF PS 230 KV  T-2
07009,Cedar Grove,NJ,106856815,CLIFFRD 138 KV  TR71
07009,Cedar Grove,NJ,106856815,CLIFFRD 138 KV  TR71
07009,Cedar Grove,NJ,106856815,CLIFFRD 138 KV  TR71
07010,Cliffside Park,NJ,48713,NBERGEN 138 KV  T-2
07010,Cliffside Park,NJ,48714,NBERGEN 230 KV  T-1
07011,Clifton,NJ,48666,KULLERRD138 KV  T-1
07011,Clifton,NJ,48666,KULLERRD138 KV  T-1
07011,Clifton,NJ,48667,KULLERRD138 KV  T-2
07011,Clifton,NJ,48667,KULLERRD138 KV  T-2
07012,Clifton,NJ,48594,ATHENIA 26 KV   AB GRP
07012,Clifton,NJ,48595,ATHENIA 26 KV   OU GRP
07012,Clifton,NJ,48596,ATHENIA 26 KV   IM GRP
07012,Clifton,NJ,119117525,ASHTABUL18 KV   LD50
07013,Clifton,NJ,48621,CLIF PS 230 KV  T-1
07013,Clifton,NJ,48621,CLIF PS 230 KV  T-1
07013,Clifton,NJ,48621,CLIF PS 230 KV  T-1
07013,Clifton,NJ,48621,CLIF PS 230 KV  T-1
07013,Clifton,NJ,48621,CLIF PS 230 KV  T-1
07013,Clifton,NJ,48622,CLIF PS 230 KV  T-2
07013,Clifton,NJ,48622,CLIF PS 230 KV  T-2
07013,Clifton,NJ,48622,CLIF PS 230 KV  T-2
07013,Clifton,NJ,48622,CLIF PS 230 KV  T-2
07013,Clifton,NJ,48622,CLIF PS 230 KV  T-2
07013,Clifton,NJ,106856815,CLIFFRD 138 KV  TR71
07013,Clifton,NJ,106856815,CLIFFRD 138 KV  TR71
07013,Clifton,NJ,106856815,CLIFFRD 138 KV  TR71
07013,Clifton,NJ,106856815,CLIFFRD 138 KV  TR71
07013,Clifton,NJ,106856815,CLIFFRD 138 KV  TR71
07014,Clifton,NJ,48634,ERUTHERF138 KV  R-13KV
07014,Clifton,NJ,205495,ERUTHERF26 KV   LOAD1
07014,Clifton,NJ,205496,ERUTHERF26 KV   LOAD2
07016,Cranford,NJ,48592,ALDENE  230 KV  T-10
07016,Cranford,NJ,48592,ALDENE  230 KV  T-10
07016,Cranford,NJ,48592,ALDENE  230 KV  T-10
07016,Cranford,NJ,48592,ALDENE  230 KV  T-10
07016,Cranford,NJ,48593,ALDENE  230 KV  T-20
