datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
5/1/2018 3:00:00 AM,4/30/2018 11:00:00 PM,MIDATL,568.356
5/1/2018 3:00:00 AM,4/30/2018 11:00:00 PM,SOUTH,151.162
5/1/2018 3:00:00 AM,4/30/2018 11:00:00 PM,WEST,2359.006
5/1/2018 3:00:00 AM,4/30/2018 11:00:00 PM,RTO,3078.524
5/1/2018 3:00:00 AM,4/30/2018 11:00:00 PM,RFC,2927.362
5/1/2018 2:00:00 AM,4/30/2018 10:00:00 PM,MIDATL,558.391
5/1/2018 2:00:00 AM,4/30/2018 10:00:00 PM,SOUTH,131.345
5/1/2018 2:00:00 AM,4/30/2018 10:00:00 PM,WEST,2236.043
5/1/2018 2:00:00 AM,4/30/2018 10:00:00 PM,RTO,2925.779
5/1/2018 2:00:00 AM,4/30/2018 10:00:00 PM,RFC,2794.434
5/1/2018 1:00:00 AM,4/30/2018 9:00:00 PM,MIDATL,618.382
5/1/2018 1:00:00 AM,4/30/2018 9:00:00 PM,SOUTH,130.731
5/1/2018 1:00:00 AM,4/30/2018 9:00:00 PM,WEST,1938.277
5/1/2018 1:00:00 AM,4/30/2018 9:00:00 PM,RTO,2687.390
5/1/2018 1:00:00 AM,4/30/2018 9:00:00 PM,RFC,2556.659
5/1/2018 12:00:00 AM,4/30/2018 8:00:00 PM,MIDATL,696.534
5/1/2018 12:00:00 AM,4/30/2018 8:00:00 PM,SOUTH,126.133
5/1/2018 12:00:00 AM,4/30/2018 8:00:00 PM,WEST,1619.921
5/1/2018 12:00:00 AM,4/30/2018 8:00:00 PM,RTO,2442.588
5/1/2018 12:00:00 AM,4/30/2018 8:00:00 PM,RFC,2316.455
4/30/2018 11:00:00 PM,4/30/2018 7:00:00 PM,MIDATL,816.177
4/30/2018 11:00:00 PM,4/30/2018 7:00:00 PM,SOUTH,124.862
4/30/2018 11:00:00 PM,4/30/2018 7:00:00 PM,WEST,1481.435
4/30/2018 11:00:00 PM,4/30/2018 7:00:00 PM,RTO,2422.474
4/30/2018 11:00:00 PM,4/30/2018 7:00:00 PM,RFC,2297.612
4/30/2018 10:00:00 PM,4/30/2018 6:00:00 PM,MIDATL,901.105
4/30/2018 10:00:00 PM,4/30/2018 6:00:00 PM,SOUTH,168.159
4/30/2018 10:00:00 PM,4/30/2018 6:00:00 PM,WEST,1707.904
4/30/2018 10:00:00 PM,4/30/2018 6:00:00 PM,RTO,2777.168
4/30/2018 10:00:00 PM,4/30/2018 6:00:00 PM,RFC,2609.009
4/30/2018 9:00:00 PM,4/30/2018 5:00:00 PM,MIDATL,914.441
4/30/2018 9:00:00 PM,4/30/2018 5:00:00 PM,SOUTH,176.907
4/30/2018 9:00:00 PM,4/30/2018 5:00:00 PM,WEST,1717.781
